State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
5000	-3.2569	17.0489	-69109.72098508239	0.440857	0.949568	0.31615378573086234	0.1816690337339641	0.1844858299343667	0.317691350600807	1.821045	0.963268	0.0023290602947462907	0.0023290602947462907	2	2	7092	26	200.3
10000	-3.2447	20.7873	-69118.39605178719	0.374474	0.645646	0.3143324894875304	0.1831383669744539	0.18568178635037885	0.31684735718763685	1.471843	0.898395	0.0017335873125391167	0.0017335873125391167	4	4	11886	31	2400.38
15000	-3.2968	100.7397	-69190.57231585412	0.01032624	1.948789	0.31846309156498315	0.18146632634956594	0.18245125315326294	0.3176193289321882	1.773474	0.603689	0.0032652528307010706	0.0032652528307010706	3	3	8641	28	2436.65
20000	-3.268	133.4103	-69095.27669724653	0.002163082	1.227624	0.31602802236598454	0.18351044077025028	0.1882756451678011	0.3121858916959642	2.085831	1.119094	0.002023117824086702	0.002023117824086702	4	4	11411	31	2645.5
25000	-4.7254	166.7897	-69063.26844311564	0.001114237	37.662405	0.3159275951356143	0.18325723811843217	0.18581372944348176	0.31500143730247165	2.240717	1.241734	0.002933805615155612	0.002933805615155612	5	5	12566	30	2779.32
30000	-8.5137	171.5178	-69059.69040893558	0.001027932	132.371708	0.31662127357312775	0.18138975471489843	0.184422289827945	0.3175666818840288	1.53937	0.888869	0.003075047814327352	0.003075047814327352	5	5	11795	34	2893.52
35000	-7.7625	184.6237	-69062.06483116702	0.000792083	113.589528	0.31669262659241737	0.18029187266893007	0.18464030668205864	0.31837519405659387	1.795551	0.763756	0.002964578653114216	0.002964578653114216	6	6	11975	32	2939.45
40000	-9.156	200.2646	-69069.61439666775	0.000706623	148.428205	0.31644941825776224	0.18279303901850028	0.18696849046049663	0.3137890522632409	1.288757	0.861921	0.0036403822498555977	0.0036403822498555977	7	7	10038	33	2850.63
45000	-11.825	244.4508	-69061.87311581541	0.000938208	215.154039	0.31444573008419674	0.18405728934325966	0.18401907160116293	0.3174779089713806	2.124632	0.900042	0.0043295283109337345	0.0043295283109337345	10	11	16405	40	2913.75
50000	-11.9783	197.9149	-69017.76573140234	0.000708792	218.985254	0.31283481664753976	0.1855836714309937	0.18533904073246157	0.316242471189005	1.844681	0.822144	0.0039333391172115114	0.0039333391172115114	7	7	12187	40	2802.69
