State 	dataLikelihood	ExpPrior[ Recombination rate ]	Coalescent	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	kappa	a.freq	c.freq	g.freq	t.freq 	popSize	rec.rate	 mc.speed 
10000	-70481.10707088077	-3.5612	122.7759	0.001829425091198282	0.001829425091198282	7	7	2417	34	2.087418	0.2879185757723111	0.20656569245905024	0.21711623009980263	0.2883995016688359	0.001182042	8.559088	3361.34
20000	-70495.65928971197	-3.6593	120.0127	0.0017709344569240117	0.0017709344569240117	6	6	1723	31	1.843947	0.2879603946863635	0.2067866524459577	0.21941439515009067	0.285838557717588	0.001020013	11.010051	8703.22
30000	-70499.04604135963	-3.7297	121.9845	0.001377663979402399	0.001377663979402399	6	6	2234	31	1.716352	0.289514032240321	0.2108964241529798	0.21690894061436491	0.2826806029923343	0.000812758	12.769555	8703.22
40000	-70446.40850832302	-3.5656	141.6145	0.0019910205132856267	0.0019910205132856267	9	9	2689	38	1.78574	0.28865672348917626	0.20778464339871203	0.2206832462238096	0.28287538688830227	0.001084767	8.667908	9276.44
50000	-70403.1438273376	-3.5852	148.5331	0.01533282411722361	0.01533282411722361	11	12	3264	41	1.882217	0.2909917073645475	0.20607979198924728	0.21459441981815588	0.28833408082804945	0.001180108	9.159062	8984.73
60000	-70455.53461999397	-3.8919	118.5943	0.01249780166180211	0.01249780166180211	7	7	2429	30	1.908221	0.29020259820807376	0.20786680924679263	0.21752192011749913	0.2844086724276345	0.000767925	16.8249	9310.99
70000	-70443.84265397863	-3.9697	122.8374	0.011216030219283142	0.011216030219283142	7	7	2423	30	2.557301	0.2899682577653801	0.20646318074691733	0.21688718750609934	0.2866813739816032	0.000775396	18.77153	9250.69
80000	-70378.19063432013	-3.5939	151.679	0.01882049503682249	0.01882049503682249	11	12	2952	42	2.25129	0.29007856867888837	0.2057444846967152	0.2173648059739232	0.28681214065047334	0.001563541	9.376634	9433.96
90000	-70405.5371006384	-3.8149	114.158	0.02651622012754285	0.02651622012754285	8	8	2508	35	1.471532	0.28839147331405945	0.20659663191499242	0.21892862811500569	0.2860832666559424	0.001258128	14.90076	9900.99
100000	-70405.26195215642	-3.7244	128.5114	0.02152907408895206	0.02152907408895206	8	9	2516	35	2.832364	0.2900154151268349	0.2067493624693763	0.21733646404779358	0.28589875835599526	0.001436897	12.638489	10060.36
110000	-70391.15296491937	-3.7436	154.8092	0.021304932982232697	0.021304932982232697	11	12	3129	43	1.966576	0.2871035165536759	0.20900942274594664	0.21883290561346813	0.28505415508690934	0.001483569	13.118045	10101.01
120000	-70389.34140881775	-3.8439	119.2106	0.029581507365941742	0.029581507365941742	9	9	2821	37	1.791052	0.2891670450919771	0.20606982321321163	0.21869585854702997	0.28606727314778124	0.001675688	15.626176	10162.6
130000	-70405.66913643632	-3.7615	129.7743	0.01893795145162892	0.01893795145162892	9	9	2615	38	2.20845	0.2927222709985303	0.20657728159707558	0.21785379414271053	0.2828466532616835	0.001579223	13.565929	10040.16
140000	-70370.17943586472	-3.8063	166.7365	0.031219860748061337	0.031219860748061337	13	14	2969	44	2.476171	0.2856223617170717	0.2112263670524016	0.21980299338745024	0.28334827784307637	0.001837916	14.685798	9337.07
150000	-70398.13090544027	-3.7342	114.2311	0.04827627016666226	0.04827627016666226	8	9	2674	36	2.367808	0.28678823108857276	0.21016665898333522	0.21631361886102327	0.28673149106706874	0.002388098	12.882169	10245.9
160000	-70403.68272534542	-3.727	110.5143	0.03614612106300927	0.03614612106300927	8	8	2579	36	2.511323	0.28678318161717214	0.20898944310040787	0.21541653699648128	0.2888108382859388	0.002575985	12.702959	10460.25
170000	-70392.1684623049	-4.0262	108.174	0.053589259316190574	0.053589259316190574	8	8	2634	36	2.089195	0.28902026287290644	0.20489793531458322	0.22071281428915446	0.28536898752335593	0.00254322	20.183716	10362.69
180000	-70395.24128936869	-4.0701	137.2991	0.04315550075829318	0.04315550075829318	8	11	2680	38	1.991681	0.28767750398067105	0.20797966486224959	0.21620422036653575	0.28813861079054365	0.002861456	21.281825	9861.93
190000	-70376.41075878794	-4.0842	138.6081	0.029420830208520574	0.029420830208520574	10	10	2506	42	2.095214	0.289390450884303	0.20833927094807544	0.21599841257042687	0.2862718655971947	0.001693108	21.633096	8779.63
