State 	Coalescent	pop.size.prior	 sum 	pop.size.changepoints	 mc.speed 
1000	298.9514	-83.61499695984598	-83.61499695984598	10	6756.76
2000	309.3288	-83.61580085184376	-83.61580085184376	10	12820.51
3000	310.2769	-83.61528933845358	-83.61528933845358	10	12987.01
4000	312.0138	-83.61480441280503	-83.61480441280503	10	14925.37
5000	312.6508	-83.61538444384064	-83.61538444384064	10	15625.0
6000	312.4083	-83.61563391729861	-83.61563391729861	10	27027.03
7000	312.7059	-83.6163638786272	-83.6163638786272	10	25641.03
8000	312.573	-83.61625520123349	-83.61625520123349	10	22727.27
9000	313.061	-83.61743669618237	-83.61743669618237	10	21276.6
10000	312.7288	-83.61796297612486	-83.61796297612486	10	23255.81
11000	313.1443	-83.61974422894656	-83.61974422894656	10	22222.22
12000	313.2066	-83.62151828267886	-83.62151828267886	10	27027.03
13000	312.9892	-83.62415261309006	-83.62415261309006	10	27027.03
14000	312.7047	-83.62414399883514	-83.62414399883514	10	29411.76
15000	312.3004	-83.62805411307369	-83.62805411307369	10	27777.78
16000	312.525	-83.63035165824631	-83.63035165824631	10	33333.33
17000	311.6387	-83.63313391216764	-83.63313391216764	10	25641.03
18000	312.7578	-83.6359039701318	-83.6359039701318	10	30303.03
19000	309.9429	-83.63438088524804	-83.63438088524804	10	29411.76
20000	313.4322	-83.6391903675109	-83.6391903675109	10	35714.29
21000	312.9973	-83.63660969845243	-83.63660969845243	10	34482.76
22000	313.0135	-83.6413573260966	-83.6413573260966	10	33333.33
23000	313.3272	-83.6447314953687	-83.6447314953687	10	29411.76
24000	313.3607	-83.65130435402091	-83.65130435402091	10	37037.04
25000	313.1795	-83.65760350340227	-83.65760350340227	10	32258.06
26000	312.7533	-83.65905877738878	-83.65905877738878	10	35714.29
27000	311.7424	-83.66385651630394	-83.66385651630394	10	35714.29
28000	313.4939	-83.65516363639054	-83.65516363639054	10	37037.04
29000	313.2995	-83.65700658826665	-83.65700658826665	10	33333.33
30000	312.4718	-83.66607168223733	-83.66607168223733	10	37037.04
31000	313.1984	-83.67685652049241	-83.67685652049241	10	37037.04
32000	313.3541	-83.67170479389942	-83.67170479389942	10	37037.04
33000	312.452	-83.68453341101637	-83.68453341101637	10	34482.76
34000	312.8855	-83.70104694844785	-83.70104694844785	10	35714.29
35000	313.4403	-83.68793692352183	-83.68793692352183	10	37037.04
36000	313.251	-83.68074001867829	-83.68074001867829	10	37037.04
37000	313.3241	-83.6944069981883	-83.6944069981883	10	34482.76
38000	313.2144	-83.76687024650111	-83.76687024650111	10	37037.04
39000	312.6024	-83.80620724064548	-83.80620724064548	10	34482.76
40000	310.9849	-83.829785069779	-83.829785069779	10	33333.33
41000	312.6938	-83.84075026325475	-83.84075026325475	10	32258.06
42000	312.6508	-83.89088475934602	-83.89088475934602	10	30303.03
43000	313.3982	-83.94162479218618	-83.94162479218618	10	37037.04
44000	313.1816	-84.26079822210971	-84.26079822210971	10	35714.29
45000	312.984	-84.73073421298264	-84.73073421298264	10	34482.76
46000	313.4845	-84.7811383656388	-84.7811383656388	10	37037.04
47000	313.3534	-84.67200899547552	-84.67200899547552	10	35714.29
48000	313.1946	-84.59145729144514	-84.59145729144514	10	33333.33
49000	313.5016	-84.93971802147922	-84.93971802147922	10	33333.33
50000	313.2169	-84.79418564126254	-84.79418564126254	10	32258.06
51000	312.3307	-85.00779513363013	-85.00779513363013	10	35714.29
52000	312.9205	-84.50255320841309	-84.50255320841309	10	35714.29
53000	312.8955	-84.29644425682028	-84.29644425682028	10	35714.29
54000	312.3356	-84.51891466208713	-84.51891466208713	10	30303.03
55000	313.3335	-84.45061886753241	-84.45061886753241	10	37037.04
56000	313.4454	-84.4746871477281	-84.4746871477281	10	35714.29
57000	313.0253	-84.46356124436029	-84.46356124436029	10	37037.04
58000	312.961	-84.49623680734726	-84.49623680734726	10	34482.76
59000	313.4646	-84.58598144092429	-84.58598144092429	10	35714.29
60000	311.948	-84.58966072717915	-84.58966072717915	10	35714.29
61000	313.2935	-84.79498466856181	-84.79498466856181	10	37037.04
62000	313.2779	-85.26073240145764	-85.26073240145764	10	32258.06
63000	312.9186	-85.71415295150786	-85.71415295150786	10	35714.29
64000	313.4838	-86.3550733131543	-86.3550733131543	10	33333.33
65000	313.249	-86.2896994590615	-86.2896994590615	10	32258.06
66000	311.7452	-85.9949945678924	-85.9949945678924	10	31250.0
67000	313.3346	-85.7831888055085	-85.7831888055085	10	35714.29
68000	313.5069	-85.56416181841989	-85.56416181841989	10	31250.0
69000	313.0996	-85.44779375415048	-85.44779375415048	10	37037.04
70000	312.5365	-85.4936968108068	-85.4936968108068	10	34482.76
71000	313.3335	-85.79771949972482	-85.79771949972482	10	35714.29
72000	312.4577	-85.5436739904809	-85.5436739904809	10	37037.04
73000	313.2952	-86.8388548211746	-86.8388548211746	10	35714.29
74000	313.3566	-86.7384134588764	-86.7384134588764	10	32258.06
75000	313.3312	-87.11046168504404	-87.11046168504404	10	35714.29
76000	313.0694	-86.70010005802096	-86.70010005802096	10	35714.29
77000	313.3078	-86.33037546851561	-86.33037546851561	10	35714.29
78000	313.3334	-87.15617887042313	-87.15617887042313	10	31250.0
79000	313.2302	-86.77857947006534	-86.77857947006534	10	37037.04
80000	312.8106	-87.90136513357696	-87.90136513357696	10	35714.29
81000	312.64	-87.92095470110704	-87.92095470110704	10	34482.76
82000	312.3053	-87.47185554110386	-87.47185554110386	10	30303.03
83000	312.5909	-87.05027242676947	-87.05027242676947	10	31250.0
84000	312.907	-88.08133876761418	-88.08133876761418	10	37037.04
85000	312.7287	-87.38711429739067	-87.38711429739067	10	35714.29
86000	313.3897	-89.59411004004767	-89.59411004004767	10	34482.76
87000	313.4417	-89.73943538346086	-89.73943538346086	10	35714.29
88000	312.6777	-88.44535307167891	-88.44535307167891	10	37037.04
89000	313.0439	-87.8823985124368	-87.8823985124368	10	35714.29
90000	312.2663	-88.08744829543392	-88.08744829543392	10	33333.33
