State 	ExpPrior[ Recombination rate ]	Coalescent	treeLikelihood	 num.patterns	 num.nodes	popSize	rec.rate	kappaR	kappaY	site.height	site.bps	total.bps	 mc.speed 
5000	-3.2602	88.253	-16283.937936962291	583	28	0.02896659	1.032919	1.284034	1.147648	0.011819402759472322	2	2	3843.2
10000	-3.2721	121.2417	-16265.614284962901	599	29	0.0041999	1.330282	1.037859	1.208852	0.01175004396605011	2	2	10683.76
15000	-3.2959	116.9549	-16266.277690629662	582	28	0.00545907	1.925257	1.285853	0.618722	0.0118173702685106	2	2	11764.71
20000	-4.7422	126.8845	-16264.214263949134	583	28	0.00445531	38.082312	1.194024	0.843626	0.010370787393045092	2	2	12376.24
25000	-4.3473	149.4386	-16272.067277932412	650	31	0.00417912	28.209585	1.045499	1.120554	0.0129245426518446	4	5	12722.65
30000	-6.036	134.3476	-16275.17213355219	608	30	0.00332229	70.428864	1.166207	1.287584	0.011384216718977993	3	3	12690.36
35000	-6.0841	142.1295	-16263.803971874837	574	28	0.00442728	71.630323	1.071455	0.797539	0.009753972820966208	3	4	13333.33
40000	-4.0079	117.3526	-16274.090718001582	552	27	0.00436286	19.725316	0.921459	0.850083	0.010254436707796572	1	1	13623.98
45000	-4.1169	124.7121	-16262.641683497675	610	30	0.00443478	22.450546	0.965053	1.367228	0.011393177048912862	2	2	13888.89
50000	-6.5224	134.9252	-16261.961999646493	593	29	0.00329747	82.587626	1.022398	1.718675	0.012030307518633468	3	3	12376.24
55000	-4.3174	118.3707	-16271.715984577739	576	28	0.00422807	27.463315	1.01425	0.797793	0.00948985865293035	1	1	13698.63
60000	-4.7033	135.4995	-16267.210106828443	593	29	0.00395091	37.111539	0.917782	1.305313	0.012568166198980085	2	3	13736.26
65000	-7.2084	136.0796	-16258.090659630285	625	35	0.00380228	99.738485	1.140309	1.188475	0.011757830318169467	3	3	13586.96
70000	-4.3535	130.6782	-16267.371099524846	598	29	0.003158246	28.365478	1.245557	0.695171	0.01127662140427057	2	2	14084.51
75000	-6.0636	146.1647	-16262.313190087882	619	33	0.00657047	71.118262	1.05692	0.994086	0.011132704867900769	4	5	14367.82
80000	-3.8999	134.0173	-16262.756511042611	614	32	0.00322654	17.025208	1.128198	1.230668	0.011180136220247872	3	3	14450.87
85000	-4.763	126.2503	-16261.974022453735	591	29	0.00334777	38.603185	1.076596	0.787674	0.012338346211454248	2	2	14450.87
90000	-4.2883	128.1196	-16265.394756400889	603	30	0.0033811	26.735976	0.901766	0.755011	0.012292973540749257	2	2	14705.88
