State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	Kappa	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
1000	-3.2716	3.3355	-4028.4124279559373	0.736572	1.31876	2.915831	0.035535379056756446	0.035535379056756446	2	2	606	15	116.31
2000	-3.2666	5.966	-4014.0658794514584	0.564216	1.192881	2.802375	0.03817208807443554	0.03817208807443554	2	2	580	15	5649.72
3000	-3.2607	3.7373	-4004.7928794090562	0.68717	1.045406	2.588971	0.039888774326109544	0.039888774326109544	2	2	540	16	5464.48
4000	-3.2656	6.0344	-4004.1153024913497	0.565594	1.16736	3.090413	0.0350775666721619	0.0350775666721619	2	2	537	16	4444.44
5000	-3.2628	10.4327	-4007.207430673845	0.36426	1.097318	2.929353	0.03864496527075614	0.03864496527075614	2	2	537	16	5181.35
6000	-3.2578	14.0949	-4004.552895134828	0.2465376	0.971938	2.583379	0.03968983127637416	0.03968983127637416	2	2	374	15	3676.47
7000	-3.2623	15.7365	-4000.110144285547	0.2143999	1.085056	2.449633	0.04509704842433926	0.04509704842433926	2	2	537	16	8849.56
8000	-3.2664	17.9981	-4000.1810034151517	0.1994736	1.186922	2.691402	0.07419780613749216	0.0402255714603931	2	3	537	16	14084.51
9000	-3.2677	19.9111	-4003.1276858340043	0.1433809	1.219541	2.465729	0.041703438762676744	0.041703438762676744	2	2	541	16	17543.86
10000	-3.2745	18.8357	-4001.5568738691363	0.1583286	1.389628	2.55562	0.04335076796226122	0.04335076796226122	2	2	539	16	19607.84
11000	-3.2802	20.9165	-4011.8503622720696	0.1317232	1.533797	3.297113	0.04676154872540451	0.04676154872540451	2	2	540	16	19607.84
12000	-3.3082	22.1505	-4005.9814703009374	0.1229215	2.232063	2.54021	0.043882092795896124	0.043882092795896124	2	2	544	15	21739.13
13000	-3.3548	24.7842	-4007.4335710677296	0.0962186	3.397394	2.450954	0.047592129081779615	0.047592129081779615	2	2	571	15	22727.27
14000	-3.4263	27.9191	-4002.0877116711827	0.0695245	5.186829	2.689404	0.03909090203546063	0.03909090203546063	2	2	539	16	20833.33
15000	-3.41	30.9268	-4010.8720149544533	0.0373265	4.778989	2.571502	0.04187989839421951	0.04187989839421951	2	2	374	15	11494.25
16000	-3.3334	30.9558	-4001.378176762277	0.02677583	2.864227	2.530992	0.045078324163327875	0.045078324163327875	2	2	374	15	20408.16
17000	-3.329	30.5384	-4004.905850731814	0.033408	2.753235	2.540209	0.04665018173463903	0.04665018173463903	2	2	539	16	23255.81
18000	-3.3521	31.6131	-4005.723539691841	0.02431298	3.331785	2.238723	0.042516299615757244	0.042516299615757244	2	2	539	16	22727.27
19000	-3.3358	34.4885	-4002.363901789702	0.0333934	2.924044	2.698819	0.038793856306889064	0.038793856306889064	3	3	542	15	23809.52
20000	-3.3904	33.4048	-4004.661820462058	0.034155	4.287909	1.71426	0.03461105888418887	0.03461105888418887	2	2	537	16	23255.81
21000	-3.5304	35.6879	-4008.738633292197	0.0489875	7.788282	2.545648	0.03928888190777062	0.03928888190777062	2	3	545	15	23809.52
22000	-3.6391	43.0432	-4001.0074235746624	0.03151707	10.506847	2.44427	0.04131669038603157	0.04131669038603157	3	4	537	16	25000.0
23000	-4.3689	60.5642	-4003.6380365657224	0.02696566	28.75112	2.825243	0.040968882908332116	0.040968882908332116	6	6	1038	20	21276.6
