State 	ExpPrior[ RecRate ]	GammaPrior[alpha]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	alpha	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
5000	-3.2788	-3.054	19.4425	-14749.800562675542	0.356551	1.499306	0.25721705063494904	0.24759431645501703	0.24759431645501703	0.24759431645501703	2.698973	1.662172	0.002131552326101528	0.002131552326101528	0	0	351	19	830.01
10000	-3.2892	-2.7769	32.2746	-14721.241441691385	0.2021331	1.757051	0.25721705063494904	0.24759431645501703	0.24759431645501703	0.24759431645501703	2.201624	1.45337	0.002131552326101528	0.002131552326101528	1	1	586	24	3450.66
15000	-3.3101	-2.7336	58.2346	-14681.73100588741	0.0651148	2.281633	0.2528998034086684	0.24343858154817632	0.24343858154817632	0.26022303349497894	2.129019	1.804941	0.0042452323703508375	0.0042452323703508375	2	2	800	27	3668.38
20000	-3.4843	-2.8576	95.3759	-14676.828814351345	0.01050325	6.635847	0.25169677020705855	0.24703751082050873	0.24228055496133072	0.2589851640111019	2.340741	1.650138	0.003205153479076186	0.003205153479076186	2	2	800	26	3990.42
25000	-4.1402	-2.3328	118.2364	-14678.15716001186	0.001501373	23.03258	0.25017630273096514	0.2515860593560102	0.24081696961772253	0.2574206682953021	1.52556	2.109537	0.004064149714980659	0.004064149714980659	2	2	785	27	3900.16
30000	-4.6278	-3.9886	123.9079	-14677.052393040565	0.001451112	35.222031	0.25017630273096514	0.2515860593560102	0.24081696961772253	0.2574206682953021	4.744782	2.484791	0.0027403505870809753	0.0027403505870809753	2	2	803	26	3958.83
35000	-4.9823	-3.1214	132.7758	-14673.788053029519	0.001010658	44.085003	0.255377243350487	0.24984100360467054	0.2391466106203787	0.2556351424244638	2.828326	1.940249	0.0039307016682524195	0.0039307016682524195	3	3	790	28	4048.58
40000	-6.1054	-2.5786	119.0515	-14675.169059130541	0.002864789	72.164262	0.2529758271839562	0.24749164695390935	0.2463012247341677	0.25323130112796666	1.88079	1.779555	0.002407062941772469	0.002407062941772469	2	2	805	26	4105.09
45000	-5.7742	-3.6285	133.0364	-14665.8257126541	0.001473719	63.884143	0.2529758271839562	0.24749164695390935	0.2463012247341677	0.25323130112796666	3.895943	2.070291	0.004440879254462846	0.004440879254462846	3	3	982	34	3831.42
50000	-6.7394	-3.7316	143.2367	-14653.969704357816	0.001990296	88.013405	0.25361442836402687	0.24520452874976706	0.2502899012173434	0.25089114166886267	4.131906	2.237342	0.002785216795634434	0.002785216795634434	4	4	1136	38	4019.29
55000	-7.0278	-3.1077	138.6662	-14652.392975275334	0.002948538	95.222601	0.24893514863297428	0.24068041476799398	0.262217192151394	0.2481672444476376	2.801762	2.25495	0.003534079322703723	0.003534079322703723	4	4	1129	39	3906.25
60000	-8.4853	-2.5121	151.4353	-14656.347232457181	0.002164898	131.659595	0.2519437661596035	0.23971629653922935	0.2611668018440134	0.24717313545715372	1.780134	1.736794	0.0031321487043604744	0.0031321487043604744	5	5	1184	37	4058.44
65000	-4.5778	-3.9666	137.3278	-14656.321673432309	0.002171551	33.973352	0.2529516605043815	0.23818396676607295	0.2594973547851226	0.2493670179444228	4.691145	2.110777	0.0037836730920090406	0.0037836730920090406	4	4	1252	34	4003.2
70000	-4.9918	-3.1397	129.3521	-14666.609238381585	0.001937952	44.324014	0.2526607871203852	0.2379100750023709	0.26034887127583245	0.24908026660141155	2.863851	1.754699	0.003018928463369056	0.003018928463369056	3	3	991	32	3946.33
75000	-5.8368	-2.0527	140.6074	-14666.49152617194	0.001149336	65.448298	0.2503205097366804	0.24052112803447243	0.2604572406653136	0.24870112156353358	1.178843	2.092012	0.003624182117576224	0.003624182117576224	4	4	1217	35	3974.56
80000	-5.4381	-0.07735	142.0527	-14656.704049304351	0.001789547	55.480844	0.2503205097366804	0.24052112803447243	0.2604572406653136	0.24870112156353358	0.120455	1.821228	0.0031473498909583685	0.0031473498909583685	4	4	1174	35	3946.33
85000	-8.6723	-2.0768	156.6295	-14651.082329750181	0.001780624	136.33645	0.25125693275712435	0.2402206936166714	0.2601319040925942	0.24839046953361005	1.206293	1.682827	0.0031749854785551373	0.0031749854785551373	5	5	1334	41	3937.01
90000	-7.7412	-2.3914	159.6151	-14662.43335336571	0.001374744	113.058583	0.2567433844177579	0.23954455393811697	0.2577164038044301	0.24599565783969513	1.60603	1.453486	0.004048831704157565	0.004048831704157565	4	6	1178	37	3965.11
95000	-5.935	-3.3414	138.0215	-14661.501448459525	0.001680411	67.903761	0.25591740679916447	0.24199104026067234	0.2568872958530428	0.24520425708712054	3.271554	1.503537	0.002883180797542591	0.002883180797542591	3	3	968	32	3903.2
100000	-6.9364	-1.1396	142.0149	-14664.927422827888	0.001292235	92.936958	0.2573427434614394	0.24152749131492707	0.25639521219969863	0.2447345530239348	0.445505	2.599669	0.0023032138289058937	0.0023032138289058937	4	4	1156	40	4108.46
105000	-7.4768	-1.9632	143.5397	-14664.399617167233	0.001400694	106.448747	0.2567725521629147	0.24099234168509923	0.2580428086068946	0.2441922975450913	1.080919	1.679442	0.0034104058361441956	0.0034104058361441956	4	4	1206	35	3952.57
110000	-8.9964	-2.7674	146.9067	-14654.713751503312	0.001691017	144.439227	0.2574117266939978	0.2371719156497124	0.25395208332760627	0.25146427432868346	2.185618	1.502652	0.0034832534432130756	0.0034832534432130756	4	4	1167	35	3863.99
115000	-5.4244	-2.2514	141.3929	-14664.517724794312	0.00130159	55.139173	0.25373729236410686	0.24806093666262727	0.25032703381991406	0.24787473715335173	1.418517	1.941977	0.002654801831291094	0.002654801831291094	4	4	1208	34	3885.0
120000	-6.6081	-2.8625	132.1077	-14656.581017553146	0.001983288	84.730161	0.24961148696660487	0.24402742963708748	0.2587315430815146	0.24762954031479312	2.349305	1.921822	0.002641541245286186	0.002641541245286186	3	3	1061	34	3816.79
125000	-7.1049	-2.7571	153.4839	-14652.689718982809	0.001153419	97.150124	0.24961148696660487	0.24402742963708748	0.2587315430815146	0.24762954031479312	2.168312	1.801381	0.003895696016329734	0.0025898400410831516	5	5	1191	38	3805.18
130000	-12.1652	-1.203	169.8859	-14664.801739248474	0.00116867	223.658725	0.24296469938992812	0.23752933731212506	0.2673844953014249	0.25212146799652185	0.479402	1.43935	0.0020269709480717863	0.0020269709480717863	5	6	1118	43	3918.5
135000	-13.3662	-2.3965	198.5214	-14653.519816171123	0.002112015	253.683535	0.2548118425424875	0.23381214729495997	0.2632000901751936	0.24817591998735877	1.613045	1.506932	0.003967369388464601	0.003648714755825099	8	9	1736	49	3918.5
140000	-8.5741	-2.5633	173.3436	-14657.489548931357	0.001601818	133.879592	0.25476555414592844	0.2337696736434753	0.26333393515692755	0.24813083705366873	1.857309	1.372235	0.004790705617442284	0.004790705617442284	7	7	1602	43	3819.71
145000	-7.9813	-2.7712	156.0661	-14646.413114170606	0.001328693	119.060861	0.25476555414592844	0.2337696736434753	0.26333393515692755	0.24813083705366873	2.192044	2.139333	0.0025640841859672922	0.0025640841859672922	5	5	1432	37	3965.11
150000	-12.9783	-4.3546	200.1014	-14646.607463101274	0.001519282	243.986292	0.24750971355272078	0.25129280328050574	0.2558340631169802	0.2453634200497934	5.672967	1.505736	0.0034658585482614367	0.0034658585482614367	8	9	1970	44	3767.9
155000	-7.2359	-1.3597	164.4972	-14647.559068677823	0.001695963	100.426287	0.24541737691886836	0.2491684860948076	0.2536713561477729	0.2517427808385511	0.572667	2.407008	0.0031338357438220553	0.0031338357438220553	6	6	1397	38	3906.25
160000	-7.8264	-3.9763	160.9167	-14649.54499267903	0.001861943	115.189339	0.2574548891811565	0.23647870076818467	0.25179563714990677	0.25427077290075195	4.714656	1.642089	0.004038913890816934	0.004038913890816934	6	6	1643	41	3773.58
165000	-4.6646	-3.5741	144.0719	-14645.467598776344	0.001268189	36.143436	0.254134690100142	0.2433648211452847	0.2515088518189569	0.25099163693561644	3.773688	1.743378	0.0033735569979922854	0.0033735569979922854	4	4	1154	38	3894.08
170000	-9.1708	-2.0629	173.6492	-14646.124597774	0.001433007	148.799201	0.24555990048650286	0.24113406688228964	0.25923650703288964	0.25406952559831786	1.190346	2.028635	0.004112587667128768	0.004112587667128768	7	7	1894	42	3881.99
175000	-6.8897	0.5361	156.2034	-14643.909539166176	0.001264822	91.771821	0.25206503907795696	0.2390548951558639	0.2570012475241481	0.2518788182420309	0.054349	1.606621	0.003515034087761078	0.003515034087761078	5	5	1376	41	3728.56
180000	-10.1822	-0.8406	156.8318	-14641.4569996633	0.001253893	174.082603	0.25073290418335564	0.24307640298077687	0.25564302533262434	0.25054766750324325	0.3125766	2.329133	0.003693666275290971	0.003693666275290971	5	5	1121	41	3834.36
185000	-5.6229	-3.2897	159.8749	-14647.988035928916	0.002300389	60.099978	0.2532290536871056	0.24207829869515327	0.2537351537619633	0.25095749385577787	3.164524	3.003044	0.002823692282703966	0.002823692282703966	5	6	1396	39	4105.09
190000	-9.1726	0.3684	172.1529	-14645.172168238343	0.001508887	148.842734	0.2564550191098373	0.23977947158403132	0.2610937567124771	0.24267175259365428	0.0676662	2.212402	0.003262502494133679	0.003262502494133679	6	6	1566	45	3831.42
195000	-7.1279	0.012763	161.771	-14650.250465184825	0.001902209	97.725612	0.2469275577258608	0.23848119677855031	0.2588822763103404	0.2557089691852485	0.1072877	2.200939	0.0024728706456120537	0.0024728706456120537	6	6	1568	47	3855.05
200000	-10.3778	-3.4311	150.5396	-14655.539770349347	0.001212127	178.971984	0.2412158260056496	0.24601598068586086	0.2583436841511297	0.2544245091573598	3.461182	3.055915	0.002733768839955487	0.002733768839955487	4	4	1208	36	3825.55
205000	-7.3078	-1.8368	147.326	-14653.055695676801	0.00221074	102.223925	0.23995013062688011	0.24681153564685795	0.260853819581713	0.25238451414454904	0.953064	2.291908	0.0037856068054744896	0.0037856068054744896	4	5	1163	39	3903.2
210000	-10.3568	-2.2207	175.9042	-14654.61518023061	0.001531367	178.447862	0.2616384125674145	0.24134985675105586	0.25260663478488865	0.24440509589664108	1.37936	1.945079	0.0032932792714648372	0.0032932792714648372	7	7	1521	44	3900.16
215000	-9.1141	0.607	157.8956	-14655.209500957757	0.001499729	147.379617	0.2615961059696785	0.2413108307869285	0.25272748733915384	0.24436557590423916	0.0495252	1.74907	0.002545770663478191	0.002545770663478191	4	5	1122	41	4166.67
220000	-9.7526	-4.6812	150.0406	-14651.322519031983	0.001103692	163.34346	0.2539416041576307	0.236244319131796	0.2626273893486739	0.24718668736189942	6.548698	2.220694	0.002838920615631689	0.002838920615631689	4	4	1170	38	4048.58
225000	-5.608	-2.6275	141.4676	-14652.78003615854	0.001487673	59.727251	0.2514267897484353	0.2438078839825556	0.26002655855856266	0.24473876771044636	1.957198	2.159454	0.002481670582967343	0.002481670582967343	4	4	1155	40	4128.82
230000	-5.2769	1.1473	144.7189	-14659.084379990642	0.00137216	51.45027	0.24987784276639222	0.2461014459518138	0.2584246315979022	0.24559607968389185	0.02430047	1.795628	0.0022324542565739926	0.0022324542565739926	4	4	1217	36	3937.01
235000	-8.1533	-5.4156	165.5757	-14651.850343136457	0.001446825	123.360781	0.2541577707333705	0.24526181077473416	0.25319465452620227	0.24738576396569303	8.650954	2.658286	0.0032580362112247636	0.0032580362112247636	6	6	1592	42	4145.94
