State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood	popSize	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
5000	-3.2921	53.0086	-20674.571575120935	0.318891	1.831511	0.17156585083635267	0.17156585083635267	0.30667393490044625	0.35019436342684845	2.997487	0.5703085199012372	0.04125880448492892	2	4	5116	53	158.48
10000	-3.3125	149.9028	-20550.9204585039	0.0388823	2.341389	0.15021376102014194	0.2150646186907955	0.28016175676159344	0.35455986352746915	3.460435	0.039100953742015124	0.039100953742015124	3	3	6723	55	5045.41
15000	-3.4174	165.0648	-20425.857122372392	0.02226831	4.961859	0.12655975456068297	0.1811986143702523	0.29101073411005873	0.401230896959006	3.890658	0.0388074180372299	0.0388074180372299	2	2	4746	55	6250.0
20000	-4.5387	212.13	-20399.883066063565	0.01389782	32.996493	0.11758839814183268	0.19294633424226987	0.31632536936317596	0.3731398982527215	3.99914	0.04265905126867185	0.04265905126867185	6	9	7496	60	5780.35
25000	-5.0364	238.2358	-20339.16686066775	0.01488774	45.437151	0.11041727864054898	0.1850286810479241	0.30807797614728594	0.3964760641642412	4.017114	0.04369138086070763	0.04104074524158372	10	12	7329	62	6321.11
30000	-5.2038	219.3712	-20322.36989132078	0.01573431	49.622001	0.10873496615618597	0.1974455458824044	0.3033841145360332	0.39043537342537643	4.162102	0.04309701485720175	0.04309701485720175	8	9	7261	64	6090.13
35000	-4.6485	188.013	-20320.325447030627	0.01166315	35.74086	0.10478708950549438	0.1902768246519904	0.30630399309846	0.39863209274405526	4.844937	0.04077831644739998	0.04077831644739998	4	4	7567	60	6393.86
40000	-4.8567	196.087	-20326.76447480607	0.00987319	40.946627	0.10478708950549438	0.1902768246519904	0.30630399309846	0.39863209274405526	4.17392	0.04271839705599343	0.04271839705599343	5	5	7536	61	6402.05
45000	-4.7264	233.9083	-20320.871610434242	0.01265076	37.688347	0.10390998568276857	0.19705448491337377	0.3037401237846859	0.39529540561917176	4.31979	0.07109680532994118	0.04703674940459672	9	11	9066	61	6868.13
50000	-3.903	204.6522	-20327.042650147487	0.01567207	17.104188	0.10343079178726787	0.19614574350963798	0.30695101328844404	0.39347245141465015	3.985704	0.05824896278570845	0.0434652004632535	7	7	7263	64	6321.11
55000	-5.0391	211.5014	-20323.525531430747	0.01125358	45.505412	0.10596400179476564	0.19559154383845231	0.3060837390484287	0.3923607153183535	4.307479	0.039636256448691974	0.039636256448691974	6	7	9482	72	6218.91
60000	-4.9565	240.3486	-20323.669009885612	0.01196819	43.440109	0.10567254520373996	0.19505356449041847	0.3052418482020993	0.39403204210374215	3.854885	0.04096950327950832	0.04096950327950832	8	12	7188	63	6476.68
65000	-5.6227	205.215	-20318.949953022217	0.01394954	60.095917	0.1055525719116096	0.19483211417682417	0.30603062850965135	0.39358468540191494	3.851768	0.05000164590496157	0.0445993615118154	5	7	8827	64	6587.62
70000	-3.885	206.0277	-20323.068750180682	0.0124073	16.652681	0.1042230034293113	0.19347025599495626	0.3021757847013441	0.40013095587438813	3.601073	0.07291949925451166	0.04030636186763555	7	7	7559	60	6711.41
75000	-4.059	202.4231	-20333.48346538047	0.0142889	21.002955	0.10190461627733802	0.18916660957306142	0.3111509162974325	0.39777785785216807	4.062781	0.04045479852175436	0.04045479852175436	6	7	7413	61	6369.43
80000	-4.0291	194.367	-20326.536782331117	0.0114177	20.256674	0.10088541728180508	0.1972761595351417	0.30803894048186764	0.39379948270118553	3.940276	0.0403634641712844	0.0403634641712844	5	5	7402	62	6321.11
85000	-4.9052	278.095	-20324.790407865406	0.01452883	42.159244	0.10036383026550087	0.1962562233916209	0.3116164436944937	0.3917635026483846	4.518831	0.042869843991317394	0.042869843991317394	11	19	8728	61	6906.08
90000	-3.8922	184.526	-20330.125534805786	0.01198561	16.832391	0.11090055376848867	0.19229830194342654	0.30623101694573723	0.3905701273423475	4.481401	0.0401069619682341	0.0401069619682341	4	4	7309	61	7352.94
95000	-4.7319	198.9098	-20325.539473745466	0.01405248	37.82471	0.10892960091233926	0.20121072414004343	0.30623085927463284	0.38362881567298435	4.080901	0.05434539950657383	0.04264769411261123	5	7	7394	61	6361.32
100000	-4.648	208.3365	-20327.130789599676	0.01206727	35.727425	0.10490449933130912	0.19508564039191595	0.2949151993851003	0.4050946608916746	4.639713	0.041122753121150275	0.041122753121150275	6	7	8947	61	6369.43
105000	-4.6016	204.7822	-20342.29126087643	0.01089912	34.568653	0.10104104220873693	0.18790096278811408	0.3208822924298884	0.39017570257326045	4.274415	0.03332456621158541	0.03332456621158541	5	6	5917	60	5793.74
110000	-4.7668	185.8694	-20315.3551347318	0.01935241	38.698686	0.10413309510172818	0.19465982714283725	0.3065071906818247	0.3946998870736097	4.635491	0.04820345649098676	0.04820345649098676	5	5	9082	62	6273.53
115000	-4.5001	192.0003	-20322.192747031855	0.01333897	32.031433	0.1037671129271013	0.19749024476836496	0.30542995228729775	0.3933126900172362	4.404185	0.0459019979541745	0.0459019979541745	5	5	7621	61	6426.74
120000	-6.3109	184.2524	-20326.0676791475	0.01378546	77.300206	0.10307444840119315	0.19354873651098128	0.30645268433045014	0.39692413075737554	4.821914	0.03999858992972463	0.03999858992972463	4	4	7252	61	6451.61
125000	-5.1844	184.7939	-20332.047290889208	0.0130842	49.13913	0.10090821855376592	0.19653255605351586	0.30949226781745653	0.3930669575752616	4.971659	0.044828813263190485	0.044828813263190485	4	4	7473	61	6172.84
130000	-4.6501	209.0286	-20308.199075344157	0.0138104	35.781135	0.10025288982011793	0.20175051857545137	0.3074823306800311	0.3905142609243995	4.259853	0.048105071402713126	0.048105071402713126	6	7	8905	64	6265.66
135000	-5.1407	236.8676	-20331.705580757065	0.01482497	48.046662	0.10129902776088677	0.20265741765312698	0.30128946878674845	0.39475408579923793	4.224923	0.059434725581399936	0.04247145038701469	6	11	9050	62	6648.94
140000	-5.522	210.8101	-20321.666962497355	0.01297646	57.577784	0.10045926751399067	0.20097740505236017	0.30708171912883	0.39148160830481904	4.768362	0.038600339848080645	0.038600339848080645	6	7	8050	68	6451.61
145000	-4.3205	205.1399	-20319.728460921637	0.01467185	27.539862	0.10415828545040215	0.19810438976826467	0.30064967527441366	0.39708764950691944	4.401105	0.03898893300870432	0.03898893300870432	5	7	6050	63	6353.24
150000	-5.7931	241.682	-20321.184039733398	0.01537037	64.354493	0.10374827686890421	0.19732457182592653	0.30340259726588975	0.3955245540392794	3.876143	0.04840301655909326	0.04667776675358308	10	13	11552	69	6925.21
155000	-5.3888	261.9496	-20331.059668365382	0.01217811	54.248352	0.10224044431301835	0.19611365926600965	0.29114490780244634	0.4105009886185256	4.353677	0.044578474786614294	0.044578474786614294	12	15	7958	66	6257.82
160000	-4.9257	220.5739	-20331.948697530624	0.01503884	42.670341	0.10054578292888339	0.19354129305207818	0.3022160937571726	0.4036968302618657	3.756234	0.09636882461122988	0.049078279169118055	6	10	7636	61	6613.76
165000	-5.9547	283.8032	-20336.48606633786	0.01270025	68.395373	0.11061794850148442	0.1933506900948567	0.3099627796941013	0.38606858170955766	4.470046	0.09098841326394225	0.04956387815631519	11	18	10208	66	7575.76
170000	-5.9048	195.7775	-20328.320929170237	0.01484855	67.14771	0.10413472640874079	0.18201857371906457	0.3141345487985305	0.39971215107366403	4.00512	0.04902361486295913	0.04902361486295913	6	6	6765	64	6518.9
175000	-4.6664	208.8936	-20322.741267364432	0.01278676	36.188537	0.10184018433859261	0.20004227109581102	0.30721279500166504	0.39090474956393134	4.571385	0.042821602493294635	0.042821602493294635	7	7	7472	64	6112.47
180000	-4.9596	225.8633	-20316.54766868758	0.01377345	43.517507	0.0998239380427021	0.19608180607173498	0.3055204904930795	0.39857376539248335	4.459242	0.06301306978794785	0.03946336551295123	6	10	6840	64	6765.9
185000	-4.7361	218.7582	-20324.857263455408	0.01340261	37.931393	0.10465020505362821	0.1940869136323426	0.30241219335539854	0.39885068795863077	4.000645	0.0435851396783926	0.0435851396783926	7	8	6976	65	6570.3
190000	-4.0758	203.1652	-20325.9697918746	0.01306378	21.423006	0.10324701986783957	0.19632209042803334	0.30692812606536135	0.3935027636387658	3.965956	0.045052840801940955	0.045052840801940955	7	7	7955	73	6075.33
195000	-4.2912	202.7137	-20316.366153633233	0.01374	26.808953	0.10274586410376996	0.19536915302259397	0.3102922615627489	0.39159272131088724	3.968941	0.036645681682132905	0.036645681682132905	5	6	7766	72	5995.2
200000	-5.0311	202.223	-20322.285369085876	0.01283056	45.306602	0.10081810911973531	0.19888589761228875	0.3069975261277978	0.3932984671401782	5.092664	0.03980662098442633	0.03980662098442633	5	6	7046	66	6234.41
205000	-4.7476	225.9697	-20322.467303381032	0.01470961	38.217695	0.10789504735752793	0.19996593505603416	0.3017730669757164	0.39036595061072155	4.054608	0.04543374340586843	0.04543374340586843	7	9	8531	68	6024.1
210000	-5.3614	232.1563	-20321.20386357772	0.01289425	53.564288	0.10544514698760006	0.19730421348565497	0.30691298027406255	0.3903376592526824	4.334184	0.041096859194253633	0.041096859194253633	9	10	8587	66	6265.66
215000	-4.2269	203.855	-20325.459450895596	0.01354855	25.201339	0.10640368615679817	0.19330084370297798	0.30778611143377327	0.39250935870645043	4.390669	0.03532962508275923	0.03532962508275923	7	7	6740	66	6234.41
220000	-4.6144	205.1214	-20331.696981383324	0.01087083	34.887	0.10565937304856772	0.19424235488468305	0.30590874579176314	0.3941895262749861	4.007373	0.0385602294527116	0.0385602294527116	5	7	7069	67	6016.85
225000	-5.0569	209.848	-20324.6891280228	0.01393323	45.950159	0.1046072581570027	0.19280060035625837	0.3028626256263562	0.39972951586038286	4.538994	0.047947262499349746	0.047947262499349746	8	8	11537	70	6535.95
230000	-4.0352	228.197	-20321.87476268951	0.01157095	20.408011	0.1025547163010351	0.1942038583919355	0.3029076953725854	0.40033372993444405	4.731416	0.04316019832403571	0.038521745405004915	9	10	8641	66	6180.47
235000	-4.001	190.6214	-20318.300342497387	0.013464	19.554115	0.0973723178790371	0.20631437349963777	0.3008775599480158	0.39543574867330944	4.318806	0.04162902979748012	0.04162902979748012	5	5	7036	66	6297.23
