State 	Coalescent	popSize	constantRecRate	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
5000	-5.9743	1.0	0.2	0.0	0	0	0	0	295.88
10000	-9.3465	1.0	0.2	0.0	0	1	0	0	31645.57
15000	-14.0514	1.0	0.2	0.0	0	2	0	0	42372.88
20000	-11.8708	1.0	0.2	0.0	0	2	0	0	54945.05
25000	-20.244	1.0	0.2	0.0	0	4	0	0	57471.26
30000	-10.2659	1.0	0.2	0.0	0	2	0	0	64102.56
35000	-17.6438	1.0	0.2	0.0	0	2	0	0	71428.57
40000	-10.4939	1.0	0.2	0.0	0	0	0	0	76923.08
45000	-15.1238	1.0	0.2	0.0	0	2	0	0	89285.71
50000	-18.5898	1.0	0.2	0.0	0	2	0	0	86206.9
55000	-7.6643	1.0	0.2	0.0	0	1	0	0	86206.9
60000	-7.9974	1.0	0.2	0.0	0	0	0	0	89285.71
65000	-7.7692	1.0	0.2	0.0	0	0	0	0	102040.82
70000	-8.6292	1.0	0.2	0.0	0	0	0	0	113636.36
75000	-13.6879	1.0	0.2	0.0	0	1	0	0	116279.07
80000	-8.5781	1.0	0.2	0.0	0	0	0	0	113636.36
85000	-10.8595	1.0	0.2	0.0	0	0	0	0	116279.07
90000	-19.5195	1.0	0.2	0.0	0	3	0	0	116279.07
95000	-14.5972	1.0	0.2	0.0	0	2	0	0	111111.11
100000	-9.9068	1.0	0.2	0.0	0	0	0	0	116279.07
105000	-14.138	1.0	0.2	0.0	0	1	0	0	94339.62
110000	-15.1792	1.0	0.2	0.0	0	1	0	0	94339.62
115000	-15.0043	1.0	0.2	0.0	0	1	0	0	104166.67
120000	-25.3082	1.0	0.2	0.0	0	4	0	0	113636.36
125000	-16.891	1.0	0.2	0.0	0	3	0	0	106382.98
130000	-12.9421	1.0	0.2	0.0	0	1	0	0	100000.0
135000	-8.8419	1.0	0.2	0.0	0	0	0	0	116279.07
140000	-17.2372	1.0	0.2	0.0	0	3	0	0	116279.07
145000	-13.8061	1.0	0.2	0.0	0	1	0	0	125000.0
150000	-11.055	1.0	0.2	0.0	0	1	0	0	121951.22
